FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
32,2017-03-16,Falcon 9,2257.0,ISS,KSC LC 39A,None None,1.0,False,False,False,,3.0,0.0,B1030,-80.6039558,28.6080585
33,2017-03-30,Falcon 9,4600.0,GTO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,2.0,1.0,B1021,-80.6039558,28.6080585
34,2017-05-01,Falcon 9,5500.0,GTO,KSC LC 39A,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1.0,B1032,-80.6039558,28.6080585
35,2017-05-15,Falcon 9,9600.0,PO,KSC LC 39A,None None,1.0,False,False,False,,3.0,0.0,B1034,-80.6039558,28.6080585
36,2017-06-03,Falcon 9,2490.0,ISS,KSC LC 39A,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1.0,B1035,-80.6039558,28.6080585
37,2017-06-23,Falcon 9,5600.0,GTO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,1.0,B1029,-80.6039558,28.6080585
38,2017-06-25,Falcon 9,5300.0,GTO,VAFB SLC 4E,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1.0,B1036,-120.610829,34.632093
39,2017-07-05,Falcon 9,6692.520170454546,LEO,KSC LC 39A,None None,1.0,False,False,False,,3.0,0.0,B1037,-80.6039558,28.6080585
40,2017-08-14,Falcon 9,6070.0,GTO,KSC LC 39A,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1.0,B1039,-80.6039558,28.6080585
41,2017-08-24,Falcon 9,2708.0,ISS,VAFB SLC 4E,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1.0,B1038,-120.610829,34.632093
42,2017-09-07,Falcon 9,3669.0,GTO,KSC LC 39A,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1.0,B1040,-80.6039558,28.6080585
43,2017-10-09,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,4.0,1.0,B1041,-120.610829,34.632093
44,2017-10-11,Falcon 9,6761.0,GTO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,1.0,B1031,-80.6039558,28.6080585
45,2017-10-30,Falcon 9,2910.0,ISS,KSC LC 39A,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,0.0,B1042,-80.6039558,28.6080585
46,2017-12-15,Falcon 9,475.0,SSO,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1.0,B1035,-80.577366,28.5618571
47,2017-12-23,Falcon 9,4990.0,LEO,VAFB SLC 4E,True Ocean,2.0,True,True,False,,3.0,1.0,B1036,-120.610829,34.632093
48,2018-01-08,Falcon 9,9600.0,PO,CCSFS SLC 40,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1.0,B1043,-80.577366,28.5618571
49,2018-01-31,Falcon 9,5200.0,GTO,CCSFS SLC 40,True Ocean,2.0,True,True,True,,3.0,1.0,B1032,-80.577366,28.5618571
50,2018-02-06,Falcon Heavy,3700.0,GTO,KSC LC 39A,False ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,3.0,0.0,B1033,-80.6039558,28.6080585
51,2018-02-22,Falcon 9,2205.0,ISS,VAFB SLC 4E,True RTLS,2.0,True,True,True,5e9e3032383ecb90a834e7c8,2.0,1.0,B1025,-120.610829,34.632093
52,2018-03-06,Falcon 9,9600.0,PO,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb267a34e7c7,2.0,1.0,B1023,-80.577366,28.5618571
53,2018-03-30,Falcon 9,6692.520170454546,LEO,VAFB SLC 4E,None None,2.0,True,True,False,,3.0,1.0,B1038,-120.610829,34.632093
54,2018-04-02,Falcon 9,4230.0,GTO,CCSFS SLC 40,None None,1.0,True,False,True,,4.0,0.0,B1044,-80.577366,28.5618571
55,2018-04-18,Falcon 9,1350.0,HCO,CCSFS SLC 40,None None,2.0,True,True,True,,4.0,1.0,B1041,-80.577366,28.5618571
56,2018-05-11,Falcon 9,1350.0,SSO,KSC LC 39A,None None,2.0,True,True,True,,4.0,1.0,B1039,-80.6039558,28.6080585
57,2018-05-22,Falcon 9,800.0,SSO,VAFB SLC 4E,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,1.0,B1045,-120.610829,34.632093
58,2018-06-04,Falcon 9,6092.0,GTO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1046,-80.577366,28.5618571
59,2018-06-29,Falcon 9,9600.0,PO,CCSFS SLC 40,None None,2.0,True,True,False,,4.0,1.0,B1043,-80.577366,28.5618571
60,2018-07-22,Falcon 9,2760.0,ISS,CCSFS SLC 40,None None,2.0,False,True,False,,4.0,1.0,B1040,-80.577366,28.5618571
61,2018-07-25,Falcon 9,350.0,HEO,VAFB SLC 4E,None None,2.0,False,True,False,,4.0,1.0,B1045,-120.610829,34.632093
62,2018-08-07,Falcon 9,3750.0,GTO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1047,-80.577366,28.5618571
63,2018-09-10,Falcon 9,4300.0,PO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,4.0,B1048,-80.577366,28.5618571
64,2018-10-08,Falcon 9,1160.0,PO,VAFB SLC 4E,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1046,-120.610829,34.632093
65,2018-11-15,Falcon 9,5383.85,GTO,KSC LC 39A,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.6039558,28.6080585
66,2018-12-03,Falcon 9,2410.0,ISS,VAFB SLC 4E,True RTLS,2.0,True,True,True,5e9e3032383ecb554034e7c9,5.0,4.0,B1048,-120.610829,34.632093
67,2018-12-05,Falcon 9,7076.0,GTO,CCSFS SLC 40,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1047,-80.577366,28.5618571
68,2018-12-23,Falcon 9,9600.0,PO,CCSFS SLC 40,True ASDS,3.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,3.0,B1046,-80.577366,28.5618571
69,2019-01-11,Falcon 9,5800.0,GTO,VAFB SLC 4E,False RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0.0,B1050,-120.610829,34.632093
70,2019-02-22,Falcon 9,7060.0,GTO,CCSFS SLC 40,None None,1.0,False,False,False,,5.0,0.0,B1054,-80.577366,28.5618571
71,2019-03-02,Falcon 9,2800.0,SSO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1049,-80.6039558,28.6080585
72,2019-04-11,Falcon Heavy,3000.0,GTO,KSC LC 39A,True ASDS,3.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4.0,B1048,-80.6039558,28.6080585
73,2019-05-04,Falcon 9,4000.0,SSO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.577366,28.5618571
74,2019-05-24,Falcon 9,2573.0,ISS,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0.0,B1055,-80.577366,28.5618571
75,2019-06-12,Falcon 9,4400.0,MEO,VAFB SLC 4E,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,5.0,6.0,B1052,-120.610829,34.632093
76,2019-06-25,Falcon Heavy,9600.0,PO,KSC LC 39A,True RTLS,1.0,True,False,True,5e9e3032383ecb90a834e7c8,5.0,1.0,B1053,-80.6039558,28.6080585
77,2019-07-25,Falcon 9,5000.0,GTO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056,-80.577366,28.5618571
78,2019-08-06,Falcon 9,60.0,GTO,CCSFS SLC 40,True ASDS,3.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.577366,28.5618571
79,2019-11-11,Falcon 9,585.0,GTO,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb554034e7c9,5.0,12.0,B1051,-80.577366,28.5618571
80,2019-12-05,Falcon 9,12259.0,ISS,CCSFS SLC 40,False ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,0.0,B1057,-80.577366,28.5618571
81,2019-12-17,Falcon 9,6000.0,GTO,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,6.0,B1052,-80.577366,28.5618571
82,2020-01-07,Falcon 9,2482.0,ISS,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb90a834e7c8,5.0,1.0,B1053,-80.577366,28.5618571
83,2020-01-19,Falcon 9,13200.0,VLEO,KSC LC 39A,True RTLS,2.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,3.0,B1056,-80.6039558,28.6080585
84,2020-01-29,Falcon 9,1425.0,SSO,CCSFS SLC 40,None None,3.0,False,True,False,,5.0,2.0,B1047,-80.577366,28.5618571
85,2020-02-17,Falcon 9,600.0,MEO,CCSFS SLC 40,True ASDS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4.0,B1048,-80.577366,28.5618571
86,2020-03-07,Falcon 9,1668.0,LEO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1059,-80.577366,28.5618571
87,2020-03-18,Falcon 9,180.0,LEO,KSC LC 39A,True ASDS,3.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056,-80.6039558,28.6080585
88,2020-04-22,Falcon 9,70.0,LEO,KSC LC 39A,True ASDS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.6039558,28.6080585
89,2020-05-30,Falcon 9,138.0,LEO,KSC LC 39A,None None,4.0,False,True,False,,5.0,3.0,B1046,-80.6039558,28.6080585
90,2020-06-04,Falcon 9,86.0,LEO,CCSFS SLC 40,True ASDS,3.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.577366,28.5618571
91,2020-06-13,Falcon 9,71.0,LEO,CCSFS SLC 40,False ASDS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056,-80.577366,28.5618571
92,2020-06-30,Falcon 9,5.0,LEO,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,5.0,B1059,-80.577366,28.5618571
93,2020-07-20,Falcon 9,4.0,LEO,CCSFS SLC 40,False ASDS,5.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4.0,B1048,-80.577366,28.5618571
94,2020-08-07,Falcon 9,5.0,LEO,KSC LC 39A,True ASDS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.6039558,28.6080585
95,2020-08-18,Falcon 9,4.0,LEO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,13.0,B1058,-80.577366,28.5618571
96,2020-08-30,Falcon 9,2.0,LEO,CCSFS SLC 40,True ASDS,5.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1049,-80.577366,28.5618571
97,2020-09-03,Falcon 9,1.0,LEO,KSC LC 39A,True ASDS,3.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1059,-80.6039558,28.6080585
98,2020-10-06,Falcon 9,1.5,LEO,KSC LC 39A,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1060,-80.6039558,28.6080585
99,2020-10-18,Falcon 9,1.5,LEO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,13.0,B1058,-80.6039558,28.6080585
100,2020-10-24,Falcon 9,1.0,LEO,CCSFS SLC 40,True ASDS,5.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.577366,28.5618571
101,2020-11-05,Falcon 9,2227.7,ISS,CCSFS SLC 40,True ASDS,6.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.577366,28.5618571
102,2020-11-16,Falcon 9,6500.0,GTO,KSC LC 39A,True RTLS,4.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,5.0,B1059,-80.6039558,28.6080585
103,2020-11-21,Falcon 9,15600.0,VLEO,VAFB SLC 4E,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1060,-120.610829,34.632093
104,2020-11-25,Falcon 9,5000.0,ISS,CCSFS SLC 40,True ASDS,3.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,13.0,B1058,-80.577366,28.5618571
105,2020-12-06,Falcon 9,6800.0,GTO,KSC LC 39A,True ASDS,6.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.6039558,28.6080585
106,2020-12-13,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,3.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1060,-80.577366,28.5618571
107,2020-12-19,Falcon 9,6692.520170454546,SO,KSC LC 39A,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,8.0,B1062,-80.6039558,28.6080585
108,2021-01-08,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1061,-80.577366,28.5618571
109,2021-01-20,Falcon 9,15600.0,VLEO,KSC LC 39A,True RTLS,1.0,True,False,True,5e9e3032383ecb554034e7c9,5.0,6.0,B1063,-80.6039558,28.6080585
110,2021-01-24,Falcon 9,1977.0,ISS,CCSFS SLC 40,True ASDS,7.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.577366,28.5618571
111,2021-02-04,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,13.0,B1058,-80.577366,28.5618571
112,2021-02-16,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,7.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1051,-80.577366,28.5618571
113,2021-03-04,Falcon 9,9525.0,ISS,KSC LC 39A,True RTLS,5.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,5.0,B1059,-80.6039558,28.6080585
114,2021-03-11,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,4.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1060,-80.577366,28.5618571
115,2021-03-14,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,8.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1051,-80.6039558,28.6080585
116,2021-03-24,Falcon 9,3880.0,MEO,CCSFS SLC 40,True ASDS,5.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,13.0,B1058,-80.577366,28.5618571
117,2021-04-07,Falcon 9,6692.520170454546,GEO,CCSFS SLC 40,True ASDS,5.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1060,-80.577366,28.5618571
118,2021-04-23,Falcon 9,15600.0,VLEO,KSC LC 39A,False ASDS,6.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1059,-80.6039558,28.6080585
119,2021-04-29,Falcon 9,112.0,SSO,CCSFS SLC 40,True ASDS,8.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.577366,28.5618571
120,2021-05-04,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,6.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,13.0,B1058,-80.6039558,28.6080585
121,2021-05-09,Falcon 9,1600.0,SSO,CCSFS SLC 40,True ASDS,9.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.577366,28.5618571
122,2021-05-15,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,6.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1060,-80.6039558,28.6080585
123,2021-05-26,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,7.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,13.0,B1058,-80.577366,28.5618571
124,2021-06-03,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1061,-80.6039558,28.6080585
125,2021-06-06,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,7.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1060,-80.577366,28.5618571
126,2021-06-17,Falcon 9,3681.0,MEO,CCSFS SLC 40,True ASDS,9.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.577366,28.5618571
127,2021-06-30,Falcon 9,6692.520170454546,ISS,CCSFS SLC 40,True ASDS,10.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.577366,28.5618571
128,2021-08-29,Falcon 9,1440.0,PO,KSC LC 39A,True ASDS,8.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,13.0,B1058,-80.6039558,28.6080585
129,2021-09-14,Falcon 9,15600.0,VLEO,VAFB SLC 4E,True ASDS,2.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,6.0,B1063,-120.610829,34.632093
130,2021-09-16,Falcon 9,2972.0,ISS,KSC LC 39A,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1067,-80.6039558,28.6080585
131,2021-11-11,Falcon 9,7000.0,GTO,KSC LC 39A,True ASDS,3.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1061,-80.6039558,28.6080585
132,2021-11-13,Falcon 9,6692.520170454546,,CCSFS SLC 40,True ASDS,2.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,8.0,B1062,-80.577366,28.5618571
133,2021-11-24,Falcon 9,3500.0,GTO,VAFB SLC 4E,True RTLS,8.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,12.0,B1060,-120.610829,34.632093
134,2021-12-01,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,4.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,9.0,B1061,-80.577366,28.5618571
135,2021-12-09,Falcon 9,6692.520170454546,SSO,KSC LC 39A,True ASDS,10.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.6039558,28.6080585
136,2021-12-18,Falcon 9,15600.0,VLEO,VAFB SLC 4E,True ASDS,3.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,8.0,B1062,-120.610829,34.632093
137,2021-12-19,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,2.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,5.0,B1067,-80.577366,28.5618571
138,2021-12-21,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,9.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,13.0,B1058,-80.6039558,28.6080585
139,2022-01-06,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6.0,B1063,-80.6039558,28.6080585
140,2022-01-13,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,9.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,12.0,B1060,-80.577366,28.5618571
141,2022-01-19,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,5.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1061,-80.6039558,28.6080585
142,2022-01-31,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,11.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.577366,28.5618571
143,2022-02-02,Falcon 9,6692.520170454546,ISS,VAFB SLC 4E,True ASDS,3.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,5.0,B1067,-120.610829,34.632093
144,2022-02-03,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,1.0,B1069,-80.6039558,28.6080585
145,2022-02-21,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,4.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,8.0,B1062,-80.577366,28.5618571
146,2022-02-25,Falcon 9,15600.0,VLEO,VAFB SLC 4E,True RTLS,10.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,13.0,B1058,-120.610829,34.632093
147,2022-03-03,Falcon 9,13520.0,VLEO,KSC LC 39A,True ASDS,10.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,12.0,B1060,-80.6039558,28.6080585
148,2022-03-09,Falcon 9,112.0,LEO,CCSFS SLC 40,True RTLS,3.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,6.0,B1052,-80.577366,28.5618571
149,2022-03-19,Falcon 9,6692.520170454546,LEO,CCSFS SLC 40,True RTLS,1.0,True,False,True,5e9e3032383ecb554034e7c9,5.0,3.0,B1071,-80.577366,28.5618571
150,2022-04-01,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,6.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,9.0,B1061,-80.577366,28.5618571
151,2022-04-08,Falcon 9,3328.0,ISS,KSC LC 39A,True ASDS,11.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,13.0,B1058,-80.6039558,28.6080585
152,2022-04-17,Falcon 9,7000.0,GTO,VAFB SLC 4E,True ASDS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6.0,B1063,-120.610829,34.632093
153,2022-04-21,Falcon 9,3681.0,MEO,CCSFS SLC 40,True ASDS,11.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1060,-80.577366,28.5618571
